file_name,date,match_type,teams,venue,city,winner,gender,overs
1157756.json,2018-10-27,ODI,"West Indies, India",Maharashtra Cricket Association Stadium,Pune,West Indies,male,50
1157757.json,2018-10-29,ODI,"India, West Indies",Brabourne Stadium,Mumbai,India,male,50
1157758.json,2018-11-01,ODI,"West Indies, India",Greenfield International Stadium,Thiruvananthapuram,India,male,50
1144986.json,2018-11-04,ODI,"Australia, South Africa",Perth Stadium,Unknown,South Africa,male,50
1157378.json,2018-11-07,ODI,"New Zealand, Pakistan",Sheikh Zayed Stadium,Abu Dhabi,New Zealand,male,50
1144987.json,2018-11-09,ODI,"Australia, South Africa",Adelaide Oval,Unknown,Australia,male,50
1157379.json,2018-11-09,ODI,"New Zealand, Pakistan",Sheikh Zayed Stadium,Abu Dhabi,Pakistan,male,50
1144988.json,2018-11-11,ODI,"South Africa, Australia",Bellerive Oval,Hobart,South Africa,male,50
1157380.json,2018-11-11,ODI,"Pakistan, New Zealand",Dubai International Cricket Stadium,Unknown,No Result,male,50
1153314.json,2018-12-09,ODI,"Bangladesh, West Indies","Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,male,50
1153315.json,2018-12-11,ODI,"Bangladesh, West Indies","Shere Bangla National Stadium, Mirpur",Dhaka,West Indies,male,50
1153316.json,2018-12-14,ODI,"Bangladesh, West Indies",Sylhet International Cricket Stadium,Sylhet,Bangladesh,male,50
1153840.json,2019-01-03,ODI,"New Zealand, Sri Lanka",Bay Oval,Mount Maunganui,New Zealand,male,50
1153841.json,2019-01-05,ODI,"New Zealand, Sri Lanka",Bay Oval,Mount Maunganui,New Zealand,male,50
1153842.json,2019-01-08,ODI,"New Zealand, Sri Lanka",Saxton Oval,Nelson,New Zealand,male,50
1144997.json,2019-01-12,ODI,"Australia, India",Sydney Cricket Ground,Sydney,Australia,male,50
1144998.json,2019-01-15,ODI,"Australia, India",Adelaide Oval,Adelaide,India,male,50
1144999.json,2019-01-18,ODI,"Australia, India",Melbourne Cricket Ground,Melbourne,India,male,50
1144156.json,2019-01-19,ODI,"South Africa, Pakistan",St George's Park,Port Elizabeth,Pakistan,male,50
1144157.json,2019-01-22,ODI,"South Africa, Pakistan",Kingsmead,Durban,South Africa,male,50
1153691.json,2019-01-23,ODI,"New Zealand, India",McLean Park,Napier,India,male,50
1144158.json,2019-01-25,ODI,"South Africa, Pakistan",SuperSport Park,Centurion,South Africa,male,50
1170454.json,2019-01-25,ODI,"United Arab Emirates, Nepal",ICC Academy,Dubai,United Arab Emirates,male,50
1170455.json,2019-01-26,ODI,"United Arab Emirates, Nepal",ICC Academy,Dubai,Nepal,male,50
1153692.json,2019-01-26,ODI,"New Zealand, India",Bay Oval,Mount Maunganui,India,male,50
1144159.json,2019-01-27,ODI,"South Africa, Pakistan",The Wanderers Stadium,Johannesburg,Pakistan,male,50
1153693.json,2019-01-28,ODI,"New Zealand, India",Bay Oval,Mount Maunganui,India,male,50
1170456.json,2019-01-28,ODI,"United Arab Emirates, Nepal",ICC Academy,Dubai,Nepal,male,50
1144160.json,2019-01-30,ODI,"South Africa, Pakistan",Newlands,Cape Town,South Africa,male,50
1153694.json,2019-01-31,ODI,"New Zealand, India",Seddon Park,Hamilton,New Zealand,male,50
1153695.json,2019-02-03,ODI,"New Zealand, India",Westpac Stadium,Wellington,India,male,50
1153844.json,2019-02-13,ODI,"New Zealand, Bangladesh",McLean Park,Napier,New Zealand,male,50
1153845.json,2019-02-16,ODI,"New Zealand, Bangladesh",Hagley Oval,Christchurch,New Zealand,male,50
1153846.json,2019-02-20,ODI,"New Zealand, Bangladesh",University Oval,Dunedin,New Zealand,male,50
1158066.json,2019-02-20,ODI,"West Indies, England","Kensington Oval, Barbados",Bridgetown,England,male,50
1158067.json,2019-02-22,ODI,"West Indies, England","Kensington Oval, Barbados",Bridgetown,West Indies,male,50
1158069.json,2019-02-27,ODI,"West Indies, England","National Cricket Stadium, Grenada",St George's,England,male,50
1168242.json,2019-03-02,ODI,"India, Australia","Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,male,50
1158070.json,2019-03-02,ODI,"West Indies, England","Darren Sammy National Cricket Stadium, St Lucia",Gros Islet,West Indies,male,50
